title,author,year,language,genre
The Alchemist,Paulo Coelho,1988,en,philosophical
Neverwhere,Neil Gaiman,1996,en,fantasy
"I, Robot",Isaac Asimov,1950,en,science fiction
Grimm's Fairy Tales Selection Vol. 4,Jacob & Wilhelm Grimm,1812,en,children
The Night Circus,Erin Morgenstern,2011,en,fantasy
The Road,Cormac McCarthy,2006,en,post-apocalyptic
Classic Sci-Fi Anthology Vol. 2,Various,1956,en,science fiction
The Hunchback of Notre-Dame,Victor Hugo,1831,en,classic
Folktales of Romania Vol. 1,Various,1950,ro,folklore
Pădurea spânzuraților,Liviu Rebreanu,1922,ro,classic
Modern Fantasy Compendium Vol. 8,Various,1997,en,fantasy
World Poetry Sampler Vol. 11,Various,1960,en,poetry
Billy Budd,Herman Melville,1924,en,classic
Grimm's Fairy Tales Selection Vol. 8,Jacob & Wilhelm Grimm,1812,en,children
Delirul,Marin Preda,1975,ro,classic
The Girl Who Played with Fire,Stieg Larsson,2006,en,thriller
The Name of the Rose,Umberto Eco,1980,en,mystery
World Poetry Sampler Vol. 6,Various,1945,en,poetry
Modern Fantasy Compendium Vol. 10,Various,1999,en,fantasy
Amintiri din copilărie,Ion Creangă,1892,ro,children
World Poetry Sampler Vol. 5,Various,1942,en,poetry
Lolita,Vladimir Nabokov,1955,en,modernism
Detective Noir Chronicles Vol. 7,Various,1957,en,noir
Ion,Liviu Rebreanu,1920,ro,classic
Classic Sci-Fi Anthology Vol. 4,Various,1958,en,science fiction
Their Eyes Were Watching God,Zora Neale Hurston,1937,en,classic
Folktales of Europe Vol. 5,Various,1958,en,folklore
Solaris,Stanislaw Lem,1961,en,science fiction
Detective Noir Chronicles Vol. 8,Various,1959,en,noir
Frații Jderi,Mihail Sadoveanu,1935,ro,classic
Death's End,Liu Cixin,2010,en,science fiction
Great Expectations,Charles Dickens,1861,en,classic
Patul lui Procust,Camil Petrescu,1933,ro,classic
A Tale of Two Cities,Charles Dickens,1859,en,classic
Mona Lisa Overdrive,William Gibson,1988,en,cyberpunk
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,2007,en,thriller
Grimm's Fairy Tales Selection Vol. 9,Jacob & Wilhelm Grimm,1812,en,children
Tender Is the Night,F. Scott Fitzgerald,1934,en,classic
The Blind Assassin,Margaret Atwood,2000,en,literary
World Poetry Sampler Vol. 1,Various,1930,en,poetry
Neuromancer,William Gibson,1984,en,cyberpunk
Bietul Ioanide,George Călinescu,1953,ro,classic
War and Peace,Leo Tolstoy,1869,en,classic
Metamorphosis,Franz Kafka,1915,en,modernism
The Old Man and the Sea,Ernest Hemingway,1952,en,classic
The Kite Runner,Khaled Hosseini,2003,en,literary
Mistborn: The Final Empire,Brandon Sanderson,2006,en,fantasy
Dune Messiah,Frank Herbert,1969,en,science fiction
Classic Sci-Fi Anthology Vol. 10,Various,1964,en,science fiction
Romanian Short Stories Collection Vol. 11,Various,1970,ro,short stories
Cyberpunk Case Files Vol. 2,Various,1986,en,cyberpunk
Children of Dune,Frank Herbert,1976,en,science fiction
Sherlock Holmes Stories Vol. 2,Arthur Conan Doyle,1893,en,mystery
World Poetry Sampler Vol. 12,Various,1963,en,poetry
Dune,Frank Herbert,1965,en,science fiction
